query,language,market,intent,journey_stage,primary_url,page_type,offer,conversion,evidence_source,evidence_date,device,justification,status
стоматолог терапевт Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,https://dentix.ua/terapevtychna-stomatolohiia/,service hub,therapy,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology,2026-09-12,"desktop Chrome; Dnipro query, IP locale Kyiv",Guide clinician/service selection and link to caries and endodontics; Ukrainian publication only; RU variant not a language launch.,MERGED_PREVIEW_VERIFIED_PRODUCTION_NOT_LAUNCHED
терапевтична стоматологія Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,https://dentix.ua/terapevtychna-stomatolohiia/,service hub,therapy,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology,2026-09-12,"desktop Chrome; Dnipro query, IP locale Kyiv",Guide clinician/service selection and link to caries and endodontics; Ukrainian publication only; RU variant not a language launch.,MERGED_PREVIEW_VERIFIED_PRODUCTION_NOT_LAUNCHED
лікування карієсу Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,https://dentix.ua/likuvannia-kariiesu/,procedure page,caries,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology,2026-09-12,"desktop Chrome; Dnipro query, IP locale Kyiv",Distinct filling/restoration decision; not a canal page; Ukrainian publication only; RU variant not a language launch.,MERGED_PREVIEW_VERIFIED_PRODUCTION_NOT_LAUNCHED
лікування каналів Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,https://dentix.ua/lechenie-pod-mikroskopom/,procedure page,endodontics,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology,2026-09-12,"desktop Chrome; Dnipro query, IP locale Kyiv",One consolidated endodontic/microscope destination preserves existing URL; no separate canals page yet; Ukrainian publication only; RU variant not a language launch.,MERGED_PREVIEW_VERIFIED_PRODUCTION_NOT_LAUNCHED
ендодонт Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,https://dentix.ua/lechenie-pod-mikroskopom/,procedure page,endodontics,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology,2026-09-12,"desktop Chrome; Dnipro query, IP locale Kyiv",One consolidated endodontic/microscope destination preserves existing URL; no separate canals page yet; Ukrainian publication only; RU variant not a language launch.,MERGED_PREVIEW_VERIFIED_PRODUCTION_NOT_LAUNCHED
лікування зубів під мікроскопом Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,https://dentix.ua/lechenie-pod-mikroskopom/,procedure page,endodontics,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology,2026-09-12,"desktop Chrome; Dnipro query, IP locale Kyiv",One consolidated endodontic/microscope destination preserves existing URL; no separate canals page yet; Ukrainian publication only; RU variant not a language launch.,MERGED_PREVIEW_VERIFIED_PRODUCTION_NOT_LAUNCHED
стоматолог хірург Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,https://dentix.ua/khirurhichna-stomatolohiia/,service hub,surgery,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology; PR04B bounded public web-search sanity check; research-methodology.md,2026-09-13,Web search tool; device/IP/searcher location UNKNOWN; Ukrainian Dnipro query,Clinical-scope hub distinct from extraction booking; Ukrainian publication only; RU variant not a language launch. PR04B: bounded service/organizational copy; no approved surgeon role; phone guidance; professional review UNKNOWN/NOT_COMPLETED; RU research-only.,MERGED_PREVIEW_VERIFIED_PRODUCTION_NOT_LAUNCHED
видалення зуба Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,https://dentix.ua/vydalennia-zuba/,procedure page,extraction,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology; PR04B bounded public web-search sanity check; research-methodology.md,2026-09-13,Web search tool; device/IP/searcher location UNKNOWN; Ukrainian Dnipro query,Complex extraction initially section on extraction page; review GSC/intent before splitting; Ukrainian publication only; RU variant not a language launch. PR04B: bounded service/organizational copy; no approved surgeon role; phone guidance; professional review UNKNOWN/NOT_COMPLETED; RU research-only.,MERGED_PREVIEW_VERIFIED_PRODUCTION_NOT_LAUNCHED
видалення зуба мудрості Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,https://dentix.ua/vydalennia-zuba-mudrosti/,procedure page,wisdom,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology; PR04B bounded public web-search sanity check; research-methodology.md,2026-09-13,Web search tool; device/IP/searcher location UNKNOWN; Ukrainian Dnipro query,Distinct wisdom-tooth evaluation supported by recurring dedicated competitor pages; Ukrainian publication only; RU variant not a language launch. PR04B: bounded service/organizational copy; no approved surgeon role; phone guidance; professional review UNKNOWN/NOT_COMPLETED; RU research-only.,MERGED_PREVIEW_VERIFIED_PRODUCTION_NOT_LAUNCHED
складне видалення зуба Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,https://dentix.ua/vydalennia-zuba/,procedure page,extraction,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology; PR04B bounded public web-search sanity check; research-methodology.md,2026-09-13,Web search tool; device/IP/searcher location UNKNOWN; Ukrainian Dnipro query,Complex extraction initially section on extraction page; review GSC/intent before splitting; Ukrainian publication only; RU variant not a language launch. PR04B: bounded service/organizational copy; no approved surgeon role; phone guidance; professional review UNKNOWN/NOT_COMPLETED; RU research-only.,MERGED_PREVIEW_VERIFIED_PRODUCTION_NOT_LAUNCHED
