query_id,platform,prompt,language,region,persona,intent,journey_stage,collection_method,owner,status
Q01,Google AI Overview; ChatGPT/Bing separate access gaps,стоматолог терапевт Дніпро,uk,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q02,Google AI Overview; ChatGPT/Bing separate access gaps,терапевтична стоматологія Дніпро,uk,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q03,Google AI Overview; ChatGPT/Bing separate access gaps,лікування карієсу Дніпро,uk,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q04,Google AI Overview; ChatGPT/Bing separate access gaps,лікування каналів Дніпро,uk,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q05,Google AI Overview; ChatGPT/Bing separate access gaps,ендодонт Дніпро,uk,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q06,Google AI Overview; ChatGPT/Bing separate access gaps,лікування зубів під мікроскопом Дніпро,uk,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q07,Google AI Overview; ChatGPT/Bing separate access gaps,стоматолог хірург Дніпро,uk,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q08,Google AI Overview; ChatGPT/Bing separate access gaps,видалення зуба Дніпро,uk,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q09,Google AI Overview; ChatGPT/Bing separate access gaps,видалення зуба мудрості Дніпро,uk,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q10,Google AI Overview; ChatGPT/Bing separate access gaps,складне видалення зуба Дніпро,uk,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q11,Google AI Overview; ChatGPT/Bing separate access gaps,імплантація зубів Дніпро,uk,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
