url,block,type,parse_valid,visible_fact_parity,eligible_feature,source_location,evidence_ids,issues,checked_at
https://optidigitalagent.github.io/dentix-booking-demo/,NONE_OBSERVED,MISSING,NOT_APPLICABLE: no block,NOT_APPLICABLE: no block,UNKNOWN: no eligibility claim,index.html; https://optidigitalagent.github.io/dentix-booking-demo/,public GET and read-only DOM 2026-09-08T11:29:53.234Z,No JSON-LD in source or rendered preview; add only from approved facts in PR-01/03,2026-09-08T11:29:53.234Z
https://optidigitalagent.github.io/dentix-booking-demo/price.html,NONE_OBSERVED,MISSING,NOT_APPLICABLE: no block,NOT_APPLICABLE: no block,UNKNOWN: no eligibility claim,index.html; https://optidigitalagent.github.io/dentix-booking-demo/price.html,public GET and read-only DOM 2026-09-08T11:29:55.072Z,No JSON-LD in source or rendered preview; add only from approved facts in PR-01/03,2026-09-08T11:29:55.072Z
https://optidigitalagent.github.io/dentix-booking-demo/,NONE intentional,NONE,NOT_APPLICABLE,NOT_APPLICABLE,NO eligibility/result claim,scripts/postbuild.mjs -> local preview/index.html,structured_data_assertions.json; browser_qa.json,NOT_PUBLISHED; detailed Dentist/LocalBusiness/Person deferred to PR-03,2026-09-08T19:44:33.788945+00:00
https://optidigitalagent.github.io/dentix-booking-demo/price.html,NONE intentional,NONE,NOT_APPLICABLE,NOT_APPLICABLE,NO eligibility/result claim,scripts/postbuild.mjs -> local preview/price.html,structured_data_assertions.json; browser_qa.json,NOT_PUBLISHED; detailed Dentist/LocalBusiness/Person deferred to PR-03,2026-09-08T19:44:33.788945+00:00
https://dentix.ua/,1,WebSite + WebPage,true,brand/language/page purpose; no clinical/entity fields,NO eligibility/result claim,scripts/postbuild.mjs -> local production/index.html,structured_data_assertions.json; browser_qa.json,NOT_PUBLISHED; detailed Dentist/LocalBusiness/Person deferred to PR-03,2026-09-08T19:44:33.788945+00:00
https://dentix.ua/price.html,1,WebSite + WebPage,true,brand/language/page purpose; no clinical/entity fields,NO eligibility/result claim,scripts/postbuild.mjs -> local production/price.html,structured_data_assertions.json; browser_qa.json,NOT_PUBLISHED; detailed Dentist/LocalBusiness/Person deferred to PR-03,2026-09-08T19:44:33.788945+00:00
https://optidigitalagent.github.io/dentix-booking-demo/,PR03 local artifact,NONE intentional,NOT_APPLICABLE,Approved source parity; Person on visible team routes; channels on visible contacts routes,NO eligibility/result claim,src/lib/entity-schema.ts; src/components/EntitySchema.tsx,structured_data_assertions.json; lead_source_entry_points.json,NOT_PUBLISHED; PostalAddress/OpeningHoursSpecification/ListItem support permitted graph nodes,2026-09-12T14:48:37.389890+00:00
https://optidigitalagent.github.io/dentix-booking-demo/likari/,PR03 local artifact,NONE intentional,NOT_APPLICABLE,Approved source parity; Person on visible team routes; channels on visible contacts routes,NO eligibility/result claim,src/lib/entity-schema.ts; src/components/EntitySchema.tsx,structured_data_assertions.json; lead_source_entry_points.json,NOT_PUBLISHED; PostalAddress/OpeningHoursSpecification/ListItem support permitted graph nodes,2026-09-12T14:48:37.389890+00:00
https://optidigitalagent.github.io/dentix-booking-demo/kontakty/,PR03 local artifact,NONE intentional,NOT_APPLICABLE,Approved source parity; Person on visible team routes; channels on visible contacts routes,NO eligibility/result claim,src/lib/entity-schema.ts; src/components/EntitySchema.tsx,structured_data_assertions.json; lead_source_entry_points.json,NOT_PUBLISHED; PostalAddress/OpeningHoursSpecification/ListItem support permitted graph nodes,2026-09-12T14:48:37.389890+00:00
https://optidigitalagent.github.io/dentix-booking-demo/price.html,PR03 local artifact,NONE intentional,NOT_APPLICABLE,Approved source parity; Person on visible team routes; channels on visible contacts routes,NO eligibility/result claim,src/lib/entity-schema.ts; src/components/EntitySchema.tsx,structured_data_assertions.json; lead_source_entry_points.json,NOT_PUBLISHED; PostalAddress/OpeningHoursSpecification/ListItem support permitted graph nodes,2026-09-12T14:48:37.389890+00:00
