query,surface,collected_at,market,device,businesses,categories,rating_review_display,dentix_presence,gbp_access,source_url,limitations
ендодонт Дніпро,Google Search local pack,2026-09-12T11:59:32.972Z,Ukraine / Dnipro query,desktop Chrome; IP Kyiv,Клініка лікаря Нєженцева|Endodontica dental practice|32Dental,Стоматологічна клініка|Стоматолог|Стоматологічна клініка,4.7/176|5.0/5|5.0/44,not seen in captured pack; not global absence,ACCESS_BLOCKED,https://www.google.com/search?q=%D0%B5%D0%BD%D0%B4%D0%BE%D0%B4%D0%BE%D0%BD%D1%82+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,Single first-page sample; ads excluded; no geo-grid/location rank. Review counts differ across listings and dates; no review text/names retained.
лікування зубів під мікроскопом Дніпро,Google Search local pack,2026-09-12T11:59:51.610Z,Ukraine / Dnipro query,desktop Chrome; IP Kyiv,32Dental|Blanco|SOCclinic,Стоматологічна клініка|Імплантація зубів|Стоматологічна клініка,5.0/44|4.9/223|4.9/519,not seen in captured pack; not global absence,ACCESS_BLOCKED,https://www.google.com/search?q=%D0%BB%D1%96%D0%BA%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F+%D0%B7%D1%83%D0%B1%D1%96%D0%B2+%D0%BF%D1%96%D0%B4+%D0%BC%D1%96%D0%BA%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF%D0%BE%D0%BC+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,Single first-page sample; ads excluded; no geo-grid/location rank. Review counts differ across listings and dates; no review text/names retained.
стоматолог хірург Дніпро,Google Search local pack,2026-09-12T12:05:15.177Z,Ukraine / Dnipro query,desktop Chrome; IP Kyiv,SOCclinic|Kurtova Dental Clinic|Amel Dental Smart,clinic category not transcribed,NOT_TRANSCRIBED|NOT_TRANSCRIBED|NOT_TRANSCRIBED,not seen in captured pack; not global absence,ACCESS_BLOCKED,https://www.google.com/search?q=%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3+%D1%85%D1%96%D1%80%D1%83%D1%80%D0%B3+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,Single first-page sample; ads excluded; no geo-grid/location rank. Review counts differ across listings and dates; no review text/names retained.
видалення зуба Дніпро,Google Search local pack,2026-09-12T11:59:52.404Z,Ukraine / Dnipro query,desktop Chrome; IP Kyiv,32Dental|KR Стоматологія|SOCclinic,Стоматологічна клініка,5.0/44|5.0/25|4.9/519,not seen in captured pack; not global absence,ACCESS_BLOCKED,https://www.google.com/search?q=%D0%B2%D0%B8%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%BD%D1%8F+%D0%B7%D1%83%D0%B1%D0%B0+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,Single first-page sample; ads excluded; no geo-grid/location rank. Review counts differ across listings and dates; no review text/names retained.
видалення зуба мудрості Дніпро,Google Search local pack,2026-09-12T12:00:36.042Z,Ukraine / Dnipro query,desktop Chrome; IP Kyiv,SOCclinic|Kurtova Dental Clinic|Дентал Євро,Стоматологічна клініка,4.9/519|4.9/480|4.6/236,not seen in captured pack; not global absence,ACCESS_BLOCKED,https://www.google.com/search?q=%D0%B2%D0%B8%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%BD%D1%8F+%D0%B7%D1%83%D0%B1%D0%B0+%D0%BC%D1%83%D0%B4%D1%80%D0%BE%D1%81%D1%82%D1%96+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,Single first-page sample; ads excluded; no geo-grid/location rank. Review counts differ across listings and dates; no review text/names retained.
зубні імпланти Дніпро,Google Search local pack,2026-09-12T12:02:05.096Z,Ukraine / Dnipro query,desktop Chrome; IP Kyiv,Blanco|Dental Tech by Premium Dent|Клініка лікаря Нєженцева,NOT_TRANSCRIBED,NOT_TRANSCRIBED,not seen in captured pack; not global absence,ACCESS_BLOCKED,https://www.google.com/search?q=%D0%B7%D1%83%D0%B1%D0%BD%D1%96+%D1%96%D0%BC%D0%BF%D0%BB%D0%B0%D0%BD%D1%82%D0%B8+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,Single first-page sample; ads excluded; no geo-grid/location rank. Review counts differ across listings and dates; no review text/names retained.
стоматологія Калинова Дніпро,Google Search local pack,2026-09-12T12:04:26.428Z,Ukraine / Dnipro query,desktop Chrome; IP Kyiv,Стоматологія (Калинова 43)|КАТАН ДЕНТ (Калинова 70)|Стоматология для детей и взрослых на Калиновой (76),Стоматологічна клініка|Стоматологічна клініка|Стоматолог,5.0/11|4.3/67|2.8/11,not seen in captured pack; not global absence,ACCESS_BLOCKED,https://www.google.com/search?q=%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D1%96%D1%8F+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%BE%D0%B2%D0%B0+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,Single first-page sample; ads excluded; no geo-grid/location rank. Review counts differ across listings and dates; no review text/names retained.
имплантация зубов Днепр,Google Search local pack,2026-09-12T12:09:55.425Z,Ukraine / Dnipro query,desktop Chrome; IP Kyiv,Blanco (two displayed entries)|OCTA Dental Clinic,NOT_TRANSCRIBED,NOT_TRANSCRIBED,not seen in captured pack; not global absence,ACCESS_BLOCKED,https://www.google.com/search?q=%D0%B8%D0%BC%D0%BF%D0%BB%D0%B0%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F+%D0%B7%D1%83%D0%B1%D0%BE%D0%B2+%D0%94%D0%BD%D0%B5%D0%BF%D1%80&hl=uk&gl=ua&pws=0,Single first-page sample; ads excluded; no geo-grid/location rank. Review counts differ across listings and dates; no review text/names retained.
DENTIX Дніпро,Google Search knowledge panel,2026-09-12T12:03:32.550Z,Ukraine / Dnipro,desktop Chrome; IP Kyiv,Dentix,Стоматологічна клініка,4.0/97,observed branded panel,ACCESS_BLOCKED,https://www.google.com/search?q=DENTIX+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,Public display only; address apartment suffix and hours require owner reconciliation; no stable rank/outcome.
DENTIX Калинова 28,Google Search knowledge panel,2026-09-12T12:03:53.174Z,Ukraine / Dnipro,desktop Chrome; IP Kyiv,Dentix,Стоматологічна клініка,4.0/97,observed branded panel,ACCESS_BLOCKED,https://www.google.com/search?q=DENTIX+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%BE%D0%B2%D0%B0+28&hl=uk&gl=ua&pws=0,Public display only; address apartment suffix and hours require owner reconciliation; no stable rank/outcome.
