gap_id,intent,market,language,current_url,competitor_evidence,business_fit,required_original_value,action,owner,priority,status
GAP-01,brand/local,Ukraine / Dnipro,uk,https://dentix.ua/,competitor-evidence.csv brand/local; serp-sample.csv,QUERY_LOCK priority or mandatory same-domain preservation/entity support,"Clinic identity, address format, approved phones, actual hours, urgent-care availability; no inferred 24/7",REBUILD_SAME_URL,DENTIX owner; named clinician/editor pending,P0 entity prerequisite,PLAN; PUBLICATION_BLOCKED
GAP-02,doctor selection,Ukraine / Dnipro,uk,https://dentix.ua/likari/,competitor-evidence.csv doctor selection; serp-sample.csv,QUERY_LOCK priority or mandatory same-domain preservation/entity support,"Full approved roster, names, roles, credentials, photos and consent, named medical reviewer",CREATE,DENTIX owner; named clinician/editor pending,P0 entity prerequisite,PLAN; PUBLICATION_BLOCKED
GAP-03,visit real clinic,Ukraine / Dnipro,uk,https://dentix.ua/kontakty/,competitor-evidence.csv visit real clinic; serp-sample.csv,QUERY_LOCK priority or mandatory same-domain preservation/entity support,"Kalinova 28 versus apartment 73, entrance, accessibility, hours, NAP and approved map/profile identifier",CREATE,DENTIX owner; named clinician/editor pending,P0 entity prerequisite,PLAN; PUBLICATION_BLOCKED
GAP-04,compare current prices,Ukraine / Dnipro,uk,https://dentix.ua/price.html,competitor-evidence.csv compare current prices; serp-sample.csv,QUERY_LOCK priority or mandatory same-domain preservation/entity support,Dated owner-approved price export; consultation conflict; included/excluded items and price validity,KEEP_NEW_SITE_ROUTE,DENTIX owner; named clinician/editor pending,P0 entity prerequisite,PLAN; PUBLICATION_BLOCKED
GAP-05,therapy,Ukraine / Dnipro,uk,https://dentix.ua/terapevtychna-stomatolohiia/,competitor-evidence.csv therapy; serp-sample.csv,QUERY_LOCK priority or mandatory same-domain preservation/entity support,"Scope of therapy, responsible clinicians, diagnostic process, reviewed service boundaries",CREATE,DENTIX owner; named clinician/editor pending,P1 therapy,PLAN; PUBLICATION_BLOCKED
GAP-06,caries,Ukraine / Dnipro,uk,https://dentix.ua/likuvannia-kariiesu/,competitor-evidence.csv caries; serp-sample.csv,QUERY_LOCK priority or mandatory same-domain preservation/entity support,"Reviewed indications/options/process, materials actually used, itemised price basis, real assets if available",CREATE,DENTIX owner; named clinician/editor pending,P1 therapy,PLAN; PUBLICATION_BLOCKED
GAP-07,canals/microscope/endodontist,Ukraine / Dnipro,uk,https://dentix.ua/lechenie-pod-mikroskopom/,competitor-evidence.csv canals/microscope/endodontist; serp-sample.csv,QUERY_LOCK priority or mandatory same-domain preservation/entity support,"Microscope ownership/model/use evidence, treating endodontist, primary versus repeat canal scope, diagnostic and restoration cost boundaries",REBUILD_SAME_URL,DENTIX owner; named clinician/editor pending,P1 therapy,PLAN; PUBLICATION_BLOCKED
GAP-08,surgery,Ukraine / Dnipro,uk,https://dentix.ua/khirurhichna-stomatolohiia/,competitor-evidence.csv surgery; serp-sample.csv,QUERY_LOCK priority or mandatory same-domain preservation/entity support,Surgeon credentials and approved interventions; emergency referral and consultation availability,CREATE,DENTIX owner; named clinician/editor pending,P2 surgery,PLAN; PUBLICATION_BLOCKED
GAP-09,simple/complex extraction,Ukraine / Dnipro,uk,https://dentix.ua/vydalennia-zuba/,competitor-evidence.csv simple/complex extraction; serp-sample.csv,QUERY_LOCK priority or mandatory same-domain preservation/entity support,"Confirmed extraction scope, clinician, diagnostic/anaesthesia/complexity pricing, reviewer-approved recovery and contact instructions",CREATE,DENTIX owner; named clinician/editor pending,P2 surgery,PLAN; PUBLICATION_BLOCKED
GAP-10,wisdom extraction,Ukraine / Dnipro,uk,https://dentix.ua/vydalennia-zuba-mudrosti/,competitor-evidence.csv wisdom extraction; serp-sample.csv,QUERY_LOCK priority or mandatory same-domain preservation/entity support,"Qualified surgeon, actual impacted-tooth service, reviewed assessment/recovery boundaries, dated price basis",CREATE,DENTIX owner; named clinician/editor pending,P2 surgery,PLAN; PUBLICATION_BLOCKED
GAP-11,implantation including price,Ukraine / Dnipro,uk,https://dentix.ua/implantatsiya/,competitor-evidence.csv implantation including price; serp-sample.csv,QUERY_LOCK priority or mandatory same-domain preservation/entity support,"Implantologist credentials, actual systems and availability, imaging/planning, staged costs including crown and add-ons; approved cases only",REBUILD_SAME_URL,DENTIX owner; named clinician/editor pending,P3 growth; P0 legacy preservation before cutover,PLAN; PUBLICATION_BLOCKED
GAP-12,prosthetics preservation,Ukraine / Dnipro,uk,https://dentix.ua/protezirovanie/,competitor-evidence.csv prosthetics preservation; serp-sample.csv,QUERY_LOCK priority or mandatory same-domain preservation/entity support,"Approved prosthetics scope, clinician, crown/bridge prices and clinical review",REBUILD_SAME_URL,DENTIX owner; named clinician/editor pending,P3 growth; P0 legacy preservation before cutover,PLAN; PUBLICATION_BLOCKED
