competitor,type,market,language,evidence_url,collected_at,observed_strength,relevant_pages,limitations,query_cluster,discovery_surface,http_status,title,h1,content_structure,city_relevance,doctor_entity_evidence,pricing_transparency,faq_pattern,schema_types,internal_link_architecture,citation_review_pattern,observed_weakness,dentix_opportunity
stomaservice.com.ua,homepage,Ukraine / Dnipro,uk,https://stomaservice.com.ua/,2026-09-12T12:01:28Z,Explicit service scope and navigation; price text visible; clinician references visible,/,First-party source HTML plus dated search context; not all supplementary pages were Google top results. No rank/volume/backlink metrics or medical endorsement.,therapy,Google/browser sample or supplementary web search; see serp-sample.csv,200,Стоматолог у Дніпрі. Стоматологія Дніпро. 12 квартал Правий берег | Стомасервіс,Стоматологія в Дніпрі - «СТОМАСЕРВІС»,Кращі cтоматологи Дніпра до ваших послуг! | Стоматологічна клініка у Дніпрі «Стомасервіс» — стоматологія без болю | Стоматологія Дніпро – ціни на популярні послуги | Ваші стоматологи у Дніпрі у клініці Стомасервіс | Стоматологічна клініка у Дніпрі | Як вибрати стоматологію в Дніпрі? | Потрібен хороший зубний лікар - стоматолог в Дніпрі? Звертайтеся в кращу стоматологію «Стомасервіс» (правий берег),Dnipro business/service page; page text/navigation inspected,Clinician references/sections observed; independently verified credentials UNKNOWN,price information detected; freshness/inclusions require validation,Question/FAQ sections observed,AggregateRating | CreativeWorkSeries,mailto:stomaservicednepr@gmail.com | https://www.facebook.com/stomaservicedp | https://www.instagram.com/stomaservicedp | https://t.me/stomaservicedp | /services | /doctors | /price | https://t.me/stomaservicedp,Public social/maps/review links where present; no backlink provider/export,Named clinical-review date/provenance not established in bounded inspection; do not infer absence or low quality.,"Connect verified treating clinician, scoped service answer, transparent dated inclusions and local conversion; no borrowed clinical claims."
dental-euro.com.ua,procedure page,Ukraine / Dnipro,ru-RU,https://dental-euro.com.ua/lechenie-kariesa,2026-09-12T12:01:28Z,Explicit service scope and navigation; price text visible; clinician references visible,/lechenie-kariesa/,First-party source HTML plus dated search context; not all supplementary pages were Google top results. No rank/volume/backlink metrics or medical endorsement.,caries,Google/browser sample or supplementary web search; see serp-sample.csv,200,"Лечение кариеса зубов, цена в Днепре - стоматология Дентал Евро",Лечение кариеса,Как лечится кариес? | Особенности лечения кариеса в зависимости от глубины поражения: | Основные этапы в лечении кариеса следующие: | ЦЕНЫ НА ДАННЫЕ УСЛУГИ | Лечение (препарирование) средний кариес | Лечение (препарирование) глубокий кариес | Лечение поверхностного кариеса пломба Filtek | Лечение поверхностного кариеса пломба Esthelite | Лечение среднего кариеса (пломба Filtek) | Лечение глубокого кариеса (пломба Filtek),Dnipro business/service page; page text/navigation inspected,Clinician references/sections observed; independently verified credentials UNKNOWN,price information detected; freshness/inclusions require validation,NOT_ESTABLISHED,BreadcrumbList | EntryPoint | ImageObject | ListItem | ReadAction | SearchAction | WebPage | WebSite,Navigation present; topical link details not transcribed,Public social/maps/review links where present; no backlink provider/export,"Fetched caries source is Russian while Ukrainian query snippet was localized; translation and fresh-price parity need inspection, not inference.","Connect verified treating clinician, scoped service answer, transparent dated inclusions and local conversion; no borrowed clinical claims."
www.uadenta.com.ua,procedure page,Ukraine / Dnipro,ua,https://www.uadenta.com.ua/caries-treatment/,2026-09-12T12:01:28Z,Explicit service scope and navigation; price text visible; clinician references visible,/caries-treatment/,First-party source HTML plus dated search context; not all supplementary pages were Google top results. No rank/volume/backlink metrics or medical endorsement.,caries,Google/browser sample or supplementary web search; see serp-sample.csv,200,Лікування карієсу у Дніпрі - Ціни на лікування карієсу Дніпро,Лікування карієсу у Дніпрі,Ціни на лікування карієсу у Дніпрі | Що таке карієс | Види карієсу | Лікування карієсу: показання | Лікування карієсу зубів у місті Дніпро | Як відбувається лікування карієсу в клініці UaDenta? | Скільки часу потрібно для лікування карієсу? | Чому варто обрати клініку UaDenta для лікування карієсу?,Dnipro business/service page; page text/navigation inspected,Clinician references/sections observed; independently verified credentials UNKNOWN,price information detected; freshness/inclusions require validation,Question/FAQ sections observed,NONE_DETECTED_IN_SOURCE_REGEX,/prices/ | /doctors/ | /prices/ | /doctors/ | /doctors/,Public social/maps/review links where present; no backlink provider/export,Named clinical-review date/provenance not established in bounded inspection; do not infer absence or low quality.,"Connect verified treating clinician, scoped service answer, transparent dated inclusions and local conversion; no borrowed clinical claims."
www.artsmile.dp.ua,procedure page,Ukraine / Dnipro,uk,https://www.artsmile.dp.ua/endodontiia,2026-09-12T12:01:28Z,"Endodontic page with microscope, retreatment, broken-instrument and patient-question sections",/endodontiia,First-party source HTML plus dated search context; not all supplementary pages were Google top results. No rank/volume/backlink metrics or medical endorsement.,endodontics,Google/browser sample or supplementary web search; see serp-sample.csv,200,Ендодонтія у Дніпрі – лікування кореневих каналів | ArtSmile,Ендодонтія під мікроскопом у Дніпрі – точне та безпечне лікування каналів,Ціни | Етапи лікування | Діагностика і знімки | ​ Обробка каналів (під мікроскопом) | ​ Пломбування та контроль | Переваги клініки | Використовуємо професійне обладнання | Маємо штат високопрофесійних фахівців | ​ Збереження навіть «безнадійних» зубів | Часті запитання,Dnipro business/service page; page text/navigation inspected,Clinician references/sections observed; independently verified credentials UNKNOWN,price information detected; freshness/inclusions require validation,Question/FAQ sections observed,BreadcrumbList | ListItem,Navigation present; topical link details not transcribed,Public social/maps/review links where present; no backlink provider/export,Named clinical-review date/provenance not established in bounded inspection; do not infer absence or low quality.,Consolidate canals/microscope on preserved DENTIX URL with verified practitioner and cost boundaries.
dentalika.dp.ua,procedure page,Ukraine / Dnipro,uk,https://dentalika.dp.ua/uk/poslugi/klinika-hirurgichnoi-stomatologii/vidalennja-zuba-mudrosti/,2026-09-12T12:01:28Z,Separate wisdom/complex-extraction pages with clinician and price sections; table of contents,/vidalennja-zuba-mudrosti/,First-party source HTML plus dated search context; not all supplementary pages were Google top results. No rank/volume/backlink metrics or medical endorsement.,surgery,Google/browser sample or supplementary web search; see serp-sample.csv,200,Видалення зуба мудрості в Дніпрі ᐉ Будь-якої складності,Видалення зуба мудрості,Зміст | Видалення зуба мудрості у Дніпрі | Показання для видалення зуба мудрості | Протипоказання для видалення зуба мудрості | Етапи видалення зуба мудрості | Реабілітаційний період після видалення ретинованого зуба | Скільки коштує видалення зуба мудрості | Лікуючий лікар | Вартість послуг | Стоматология DENTALIKA,Dnipro business/service page; page text/navigation inspected,Clinician references/sections observed; independently verified credentials UNKNOWN,price information detected; freshness/inclusions require validation,Question/FAQ sections observed,SearchAction | WebPage | WebSite,https://dentalika.dp.ua/uk/poslugi/ | https://dentalika.dp.ua/uk/poslugi/klinika-terapevticheskoj-stomatologii/ | https://dentalika.dp.ua/uk/poslugi/klinika-terapevticheskoj-stomatologii/lechenie-kariesa/ | https://dentalika.dp.ua/uk/poslugi/klinika-terapevticheskoj-stomatologii/likuvannja-pulpitu/ | https://dentalika.dp.ua/uk/poslugi/klinika-terapevticheskoj-stomatologii/restavracija-zubiv/ | https://dentalika.dp.ua/uk/poslugi/klinika-terapevticheskoj-stomatologii/lechenie-kisty-zuba/ | https://dentalika.dp.ua/uk/poslugi/klinika-terapevticheskoj-stomatologii/plombirovanie-zubov/ | https://dentalika.dp.ua/uk/poslugi/klinika-terapevticheskoj-stomatologii/likuvannja-periodontitu/,Public social/maps/review links where present; no backlink provider/export,Complex-extraction page mixes Ukrainian and Russian headings; reviewer provenance not established.,"Use Ukrainian reviewed decision support; initially keep complex extraction within general extraction, split only if real DENTIX evidence warrants."
dentalika.dp.ua,procedure page,Ukraine / Dnipro,uk,https://dentalika.dp.ua/uk/poslugi/klinika-hirurgichnoi-stomatologii/skladne-vidalennja-zuba/,2026-09-12T12:01:29Z,Separate wisdom/complex-extraction pages with clinician and price sections; table of contents,/skladne-vidalennja-zuba/,First-party source HTML plus dated search context; not all supplementary pages were Google top results. No rank/volume/backlink metrics or medical endorsement.,surgery,Google/browser sample or supplementary web search; see serp-sample.csv,200,Складне видалення зуба у Дніпрі | Стоматологія Dentalika,Складне видалення зуба,Зміст | Складне видалення зубів у Дніпрі | Показання до складного видалення зуба | Как проходит сложное удаление | Рекомендации после операции | Відгуки | Лікуючий лікар | Вартість послуг | Стоматология DENTALIKA | Нагороди стоматології «Денталіка»,Dnipro business/service page; page text/navigation inspected,Clinician references/sections observed; independently verified credentials UNKNOWN,price information detected; freshness/inclusions require validation,NOT_ESTABLISHED,SearchAction | WebPage | WebSite,https://dentalika.dp.ua/uk/poslugi/ | https://dentalika.dp.ua/uk/poslugi/klinika-terapevticheskoj-stomatologii/ | https://dentalika.dp.ua/uk/poslugi/klinika-terapevticheskoj-stomatologii/lechenie-kariesa/ | https://dentalika.dp.ua/uk/poslugi/klinika-terapevticheskoj-stomatologii/likuvannja-pulpitu/ | https://dentalika.dp.ua/uk/poslugi/klinika-terapevticheskoj-stomatologii/restavracija-zubiv/ | https://dentalika.dp.ua/uk/poslugi/klinika-terapevticheskoj-stomatologii/lechenie-kisty-zuba/ | https://dentalika.dp.ua/uk/poslugi/klinika-terapevticheskoj-stomatologii/plombirovanie-zubov/ | https://dentalika.dp.ua/uk/poslugi/klinika-terapevticheskoj-stomatologii/likuvannja-periodontitu/,Public social/maps/review links where present; no backlink provider/export,Complex-extraction page mixes Ukrainian and Russian headings; reviewer provenance not established.,"Use Ukrainian reviewed decision support; initially keep complex extraction within general extraction, split only if real DENTIX evidence warrants."
kurtova-dentalclinic.com.ua,procedure page,Ukraine / Dnipro,uk,https://kurtova-dentalclinic.com.ua/procedures/zuba-mudrosti/,2026-09-12T12:01:30Z,"Procedure page ties service to doctors, clinic locations, prices and related articles",/procedures/zuba-mudrosti/,First-party source HTML plus dated search context; not all supplementary pages were Google top results. No rank/volume/backlink metrics or medical endorsement.,surgery,Google/browser sample or supplementary web search; see serp-sample.csv,200,Видалення зуба мудрості у Дніпрі | Ціна видалення вісімки у стоматології Kurtova Dental Clinic,Видалення зуба мудрості,"Показання до процедури | Протипоказання до процедури | Як відбувається процедура? | Про видалення зуба мудрості | Лікарі | Ціни послуги | Послуги ви можете отримати в наших клініках | Статті, пов'язані з послугою | Види та стадії розвитку карієсу | Правила догляду та відновлення після видалення зуба",Dnipro business/service page; page text/navigation inspected,Clinician references/sections observed; independently verified credentials UNKNOWN,price information detected; freshness/inclusions require validation,Question/FAQ sections observed,BreadcrumbList | EntryPoint | ImageObject | ListItem | MedicalClinic | MedicalOrganization | Organization | PostalAddress | PropertyValueSpecification | ReadAction | SearchAction | WebPage | WebSite,https://kurtova-dentalclinic.com.ua/doctors/ | https://kurtova-dentalclinic.com.ua/prices/ | https://kurtova-dentalclinic.com.ua/services/estetyka-zubiv/ | https://kurtova-dentalclinic.com.ua/services/likuvannya-zubiv/ | https://kurtova-dentalclinic.com.ua/services/likuvannya-yasen/ | https://kurtova-dentalclinic.com.ua/services/hirurgiya/ | https://kurtova-dentalclinic.com.ua/services/implantologiya/ | https://kurtova-dentalclinic.com.ua/services/protezuvannya/,Public social/maps/review links where present; no backlink provider/export,Named clinical-review date/provenance not established in bounded inspection; do not infer absence or low quality.,PR03 actual clinicians and PR04B wisdom page with one real DENTIX location.
www.darovit.dp.ua,procedure page,Ukraine / Dnipro,uk,https://www.darovit.dp.ua/implantaciya-zubiv/,2026-09-12T12:01:30Z,"Implantation page contains price, doctors, FAQ and displayed licence text",/implantaciya-zubiv/,First-party source HTML plus dated search context; not all supplementary pages were Google top results. No rank/volume/backlink metrics or medical endorsement.,implantation,Google/browser sample or supplementary web search; see serp-sample.csv,200,"Імплантація Зубів Дніпро | Дентальні Імпланти ""Даровіт"" – Ціна",,+38 (097) 776 31 49 | +38 (097) 776 31 49 | +38 (097) 776 31 49 | Імплантація Зубів у Дніпрі: Повноцінне Відновлення Усмішки та Функції | Ціни на Імплантацію Зубів у «Даровіт» Дніпро | Імплантація | Наші Досвідчені Лікарі: Команда Професіоналів «Даровіт» | Поширені Запитання про Імплантацію Зубів: | Поверніть собі повноцінну усмішку та комфорт жування! | Стоматологічна клініка Даровіт,Dnipro business/service page; page text/navigation inspected,Clinician references/sections observed; independently verified credentials UNKNOWN,price information detected; freshness/inclusions require validation,Question/FAQ sections observed,Answer | BreadcrumbList | EntryPoint | FAQPage | ListItem | PropertyValueSpecification | Question | ReadAction | SearchAction | WebPage | WebSite,https://www.darovit.dp.ua/stomatologichni-poslugy/ | https://darovit.dp.ua/likari/ | https://www.darovit.dp.ua/stomatologichni-poslugy/ | https://darovit.dp.ua/likari/ | https://www.darovit.dp.ua/stomatologichni-poslugy/ | https://darovit.dp.ua/likari/,Public social/maps/review links where present; no backlink provider/export,Displayed credentials are self-published; qualification/licence verification not performed.,"Connect verified treating clinician, scoped service answer, transparent dated inclusions and local conversion; no borrowed clinical claims."
www.uadenta.com.ua,procedure page,Ukraine / Dnipro,ua,https://www.uadenta.com.ua/implantatsiya-zubov/,2026-09-12T12:01:31Z,Explicit service scope and navigation; price text visible; clinician references visible,/implantatsiya-zubov/,First-party source HTML plus dated search context; not all supplementary pages were Google top results. No rank/volume/backlink metrics or medical endorsement.,implantation,Google/browser sample or supplementary web search; see serp-sample.csv,200,"Імплантація зубів у Дніпрі, ціни на встановлення імплантів Дніпро",Імплантація Зубів,Ціна на імплантацію зубів у Дніпрі | Коли потрібна установка імплантів | Види імплантації зубів | Етапи встановлення імплантів | Де встановити імпланти у Дніпрі | Які особливості методик all-on-4 та all-on-6 при імплантації зубів? | Чи можливо встановити кілька імплантів одночасно? | Які терміни встановлення імплантів після видалення зубів? | Які існують протипоказання до імплантації зубів?,Dnipro business/service page; page text/navigation inspected,Clinician references/sections observed; independently verified credentials UNKNOWN,price information detected; freshness/inclusions require validation,Question/FAQ sections observed,NONE_DETECTED_IN_SOURCE_REGEX,/prices/ | /doctors/ | /prices/ | /doctors/ | /doctors/,Public social/maps/review links where present; no backlink provider/export,Named clinical-review date/provenance not established in bounded inspection; do not infer absence or low quality.,"Connect verified treating clinician, scoped service answer, transparent dated inclusions and local conversion; no borrowed clinical claims."
blanco.dental,procedure page,Ukraine / Dnipro,ua,https://blanco.dental/ua/implant-pod-klych,2026-09-12T12:01:31Z,Specific full-implant offer page with service/price and rich structured data,/ua/implant-pod-klych,First-party source HTML plus dated search context; not all supplementary pages were Google top results. No rank/volume/backlink metrics or medical endorsement.,implantation,Google/browser sample or supplementary web search; see serp-sample.csv,200,"✅ Встановлення одного імпланту «під ключ» ціна | Дніпро, вул. Шевченка, 36а",Встановлення одного імпланту «під ключ»,BLANCO DENTAL | ЧАСТІ ПИТАННЯ,Dnipro business/service page; page text/navigation inspected,Clinician references/sections observed; independently verified credentials UNKNOWN,price information detected; freshness/inclusions require validation,Question/FAQ sections observed,AggregateOffer | AggregateRating | Answer | BreadcrumbList | Dentist | FAQPage | GeoCoordinates | Language | ListItem | OpeningHoursSpecification | PostalAddress | Product | PropertyValue | Question | ReserveAction | Service | Thing,/ua/services | https://implants.blanco.dental/#price-included | /ua/services | /ua/services | https://implants.blanco.dental/#price-included,Public social/maps/review links where present; no backlink provider/export,"Schema types detected only; eligibility, review provenance and numerical marketing comparisons not validated.","Connect verified treating clinician, scoped service answer, transparent dated inclusions and local conversion; no borrowed clinical claims."
