query,language,market,intent,journey_stage,provider,metric_name,metric_value,match_type,database_date,collected_at,device,limitations
стоматолог терапевт Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,UNKNOWN,search_volume,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-12T12:18:25.462402+00:00,desktop sample only,Query seed plus public research; no numeric provider/export. Google sample is not a rank tracker; GSC blocked.
стоматолог терапевт Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,UNKNOWN,difficulty,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-12T12:18:25.462402+00:00,desktop sample only,Query seed plus public research; no numeric provider/export. Google sample is not a rank tracker; GSC blocked.
стоматолог терапевт Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,UNKNOWN,position,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-12T12:18:25.462402+00:00,desktop sample only,Query seed plus public research; no numeric provider/export. Google sample is not a rank tracker; GSC blocked.
стоматолог терапевт Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,UNKNOWN,traffic,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-12T12:18:25.462402+00:00,desktop sample only,Query seed plus public research; no numeric provider/export. Google sample is not a rank tracker; GSC blocked.
терапевтична стоматологія Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,UNKNOWN,search_volume,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-12T12:18:25.462402+00:00,desktop sample only,Query seed plus public research; no numeric provider/export. Google sample is not a rank tracker; GSC blocked.
терапевтична стоматологія Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,UNKNOWN,difficulty,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-12T12:18:25.462402+00:00,desktop sample only,Query seed plus public research; no numeric provider/export. Google sample is not a rank tracker; GSC blocked.
терапевтична стоматологія Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,UNKNOWN,position,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-12T12:18:25.462402+00:00,desktop sample only,Query seed plus public research; no numeric provider/export. Google sample is not a rank tracker; GSC blocked.
терапевтична стоматологія Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,UNKNOWN,traffic,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-12T12:18:25.462402+00:00,desktop sample only,Query seed plus public research; no numeric provider/export. Google sample is not a rank tracker; GSC blocked.
лікування карієсу Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,UNKNOWN,search_volume,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-12T12:18:25.462402+00:00,desktop sample only,Query seed plus public research; no numeric provider/export. Google sample is not a rank tracker; GSC blocked.
лікування карієсу Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,UNKNOWN,difficulty,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-12T12:18:25.462402+00:00,desktop sample only,Query seed plus public research; no numeric provider/export. Google sample is not a rank tracker; GSC blocked.
лікування карієсу Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,UNKNOWN,position,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-12T12:18:25.462402+00:00,desktop sample only,Query seed plus public research; no numeric provider/export. Google sample is not a rank tracker; GSC blocked.
лікування карієсу Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,UNKNOWN,traffic,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-12T12:18:25.462402+00:00,desktop sample only,Query seed plus public research; no numeric provider/export. Google sample is not a rank tracker; GSC blocked.
лікування каналів Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,UNKNOWN,search_volume,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-12T12:18:25.462402+00:00,desktop sample only,Query seed plus public research; no numeric provider/export. Google sample is not a rank tracker; GSC blocked.
лікування каналів Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,UNKNOWN,difficulty,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-12T12:18:25.462402+00:00,desktop sample only,Query seed plus public research; no numeric provider/export. Google sample is not a rank tracker; GSC blocked.
