query,language,market,search_location,device,collected_at,account_context,result_position,result_url,result_type,dominant_intent,serp_features,limitations,result_domain,title_snippet_themes,source_url,dentix_presence,sample_id,verified_representative_url
стоматолог терапевт Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T11:58:36.297Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,UNKNOWN_FULL_RESULT_URL,directory,therapy,not observed; AI Overview present,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",doc.ua,doctor selection; services and practice location,https://www.google.com/search?q=%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3+%D1%82%D0%B5%D1%80%D0%B0%D0%BF%D0%B5%D0%B2%D1%82+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S01,UNKNOWN
стоматолог терапевт Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T11:58:36.297Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,UNKNOWN_FULL_RESULT_URL,service,therapy,not observed; AI Overview present,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",stomatpoliklinika1.dp.ua,doctor selection; services and practice location,https://www.google.com/search?q=%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3+%D1%82%D0%B5%D1%80%D0%B0%D0%BF%D0%B5%D0%B2%D1%82+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S01,UNKNOWN
стоматолог терапевт Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T11:58:36.297Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,UNKNOWN_FULL_RESULT_URL,procedure,therapy,not observed; AI Overview present,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",32dental.com.ua,doctor selection; services and practice location,https://www.google.com/search?q=%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3+%D1%82%D0%B5%D1%80%D0%B0%D0%BF%D0%B5%D0%B2%D1%82+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S01,UNKNOWN
терапевтична стоматологія Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T11:59:18.801Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,https://stomaservice.com.ua/therapy,service hub,therapy,not observed; AI Overview present,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",stomaservice.com.ua,treatment scope; prevention; clinic quality,https://www.google.com/search?q=%D1%82%D0%B5%D1%80%D0%B0%D0%BF%D0%B5%D0%B2%D1%82%D0%B8%D1%87%D0%BD%D0%B0+%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D1%96%D1%8F+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S02,https://stomaservice.com.ua/therapy
терапевтична стоматологія Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T11:59:18.801Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,UNKNOWN_FULL_RESULT_URL,service hub,therapy,not observed; AI Overview present,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",aspendental.com.ua,treatment scope; prevention; clinic quality,https://www.google.com/search?q=%D1%82%D0%B5%D1%80%D0%B0%D0%BF%D0%B5%D0%B2%D1%82%D0%B8%D1%87%D0%BD%D0%B0+%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D1%96%D1%8F+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S02,UNKNOWN
терапевтична стоматологія Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T11:59:18.801Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,UNKNOWN_FULL_RESULT_URL,service,therapy,not observed; AI Overview present,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",stomatpoliklinika1.dp.ua,treatment scope; prevention; clinic quality,https://www.google.com/search?q=%D1%82%D0%B5%D1%80%D0%B0%D0%BF%D0%B5%D0%B2%D1%82%D0%B8%D1%87%D0%BD%D0%B0+%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D1%96%D1%8F+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S02,UNKNOWN
лікування карієсу Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T11:59:32.179Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,https://dental-euro.com.ua/lechenie-kariesa,procedure,caries,not observed; AI Overview not captured; absence not established,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",dental-euro.com.ua,procedure stages and price tables,https://www.google.com/search?q=%D0%BB%D1%96%D0%BA%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F+%D0%BA%D0%B0%D1%80%D1%96%D1%94%D1%81%D1%83+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S03,https://dental-euro.com.ua/lechenie-kariesa
лікування карієсу Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T11:59:32.179Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,https://www.uadenta.com.ua/caries-treatment/,procedure,caries,not observed; AI Overview not captured; absence not established,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",uadenta.com.ua,procedure stages and price tables,https://www.google.com/search?q=%D0%BB%D1%96%D0%BA%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F+%D0%BA%D0%B0%D1%80%D1%96%D1%94%D1%81%D1%83+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S03,https://www.uadenta.com.ua/caries-treatment/
лікування карієсу Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T11:59:32.179Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,UNKNOWN_FULL_RESULT_URL,procedure,caries,not observed; AI Overview not captured; absence not established,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",stomatologia.dp.ua,procedure stages and price tables,https://www.google.com/search?q=%D0%BB%D1%96%D0%BA%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F+%D0%BA%D0%B0%D1%80%D1%96%D1%94%D1%81%D1%83+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S03,UNKNOWN
лікування каналів Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T12:04:54.296Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,https://www.artsmile.dp.ua/endodontiia,procedure,endodontics,not observed; AI Overview present,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",artsmile.dp.ua,root-canal treatment and microscope,https://www.google.com/search?q=%D0%BB%D1%96%D0%BA%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F+%D0%BA%D0%B0%D0%BD%D0%B0%D0%BB%D1%96%D0%B2+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S04,https://www.artsmile.dp.ua/endodontiia
