metric_id,funnel_stage,metric,source,property_or_scope,segment,start_date,end_date,timezone,value,unit,sample_size,data_class,latency,limitations
T0-01,implementation,PR00_controls,source and controls,https://optidigitalagent.github.io/dentix-booking-demo/,DENTIX; Ukraine/Dnipro; page language uk; device UNKNOWN unless stated,2026-09-08,2026-09-08,UTC,CONTROLS_VALIDATED_NO_COMMIT,status (no quantitative dataset),UNKNOWN,source_observation,UNKNOWN,PR00 controls validated locally; source test/build PASS; no publication or outcome implied
T0-02,preview_publication,preview_deployment,GitHub deployment 6324604734 and Actions 34209979816,https://optidigitalagent.github.io/dentix-booking-demo/,DENTIX; Ukraine/Dnipro; page language uk; device UNKNOWN unless stated,2026-09-08,2026-09-08,UTC,OBSERVED,status (no quantitative dataset),UNKNOWN,deployment_observation,UNKNOWN,Successful preview SHA f8431478b995031131fcdf4c12d89afdb6743067; not production
T0-03,new_production_launch,new_site_launch,User-provided 01_CODEX_PROMPT_DENTIX_PR00_BOOTSTRAP_T0_RU.txt dated 2026-09-08,https://dentix.ua/,DENTIX; Ukraine/Dnipro; page language uk; device UNKNOWN unless stated,2026-09-08,2026-09-08,UTC,NOT_YET,status (no quantitative dataset),UNKNOWN,scope_fact,UNKNOWN,Existing WordPress dentix.ua is not the new React site
T0-04,production_availability,old_site_http_availability,https://dentix.ua/,https://dentix.ua/,DENTIX; Ukraine/Dnipro; page language uk; device UNKNOWN unless stated,2026-09-08,2026-09-08,UTC,HTTP_200_OLD_SITE,status (no quantitative dataset),UNKNOWN,http_observation,UNKNOWN,New-site production availability remains NOT_YET
T0-05,indexation,indexed_urls,GSC URL Inspection,https://dentix.ua/,DENTIX; Ukraine/Dnipro; page language uk; device UNKNOWN unless stated,2026-09-08,2026-09-08,UTC,ACCESS_BLOCKED,status (no quantitative dataset),UNKNOWN,unavailable,UNKNOWN,No scoped authorized URL Inspection export; old-site availability is not indexation
T0-06,google_organic_visibility,impressions_clicks_position,GSC Search performance,https://dentix.ua/,DENTIX; Ukraine/Dnipro; page language uk; device UNKNOWN unless stated,2026-09-08,2026-09-08,UTC,ACCESS_BLOCKED,status (no quantitative dataset),UNKNOWN,unavailable,UNKNOWN,No property/period/filters/dataset
T0-07,maps_visibility,maps_profile_actions,GBP Performance / location-aware sample,https://dentix.ua/,DENTIX; Ukraine/Dnipro; page language uk; device UNKNOWN unless stated,2026-09-08,2026-09-08,UTC,ACCESS_BLOCKED,status (no quantitative dataset),UNKNOWN,unavailable,UNKNOWN,No verified profile/export or geographic sample
T0-08,ai_mention,brand_mentions,Supported dated AI query sample,https://dentix.ua/,DENTIX; Ukraine/Dnipro; page language uk; device UNKNOWN unless stated,2026-09-08,2026-09-08,UTC,UNKNOWN,status (no quantitative dataset),UNKNOWN,unavailable,UNKNOWN,No samples collected; one sample would not establish stable visibility
T0-09,ai_site_citation,own_site_citations,Supported dated AI query sample,https://dentix.ua/,DENTIX; Ukraine/Dnipro; page language uk; device UNKNOWN unless stated,2026-09-08,2026-09-08,UTC,UNKNOWN,status (no quantitative dataset),UNKNOWN,unavailable,UNKNOWN,No samples or citations collected
T0-10,ai_referral,attributed_ai_sessions,GA4 / server aggregate analytics,https://dentix.ua/,DENTIX; Ukraine/Dnipro; page language uk; device UNKNOWN unless stated,2026-09-08,2026-09-08,UTC,ACCESS_BLOCKED,status (no quantitative dataset),UNKNOWN,unavailable,UNKNOWN,No authorized analytics export; mentions do not prove visits
T0-11,visit,sessions,GA4 / aggregate traffic,https://dentix.ua/,DENTIX; Ukraine/Dnipro; page language uk; device UNKNOWN unless stated,2026-09-08,2026-09-08,UTC,ACCESS_BLOCKED,status (no quantitative dataset),UNKNOWN,unavailable,UNKNOWN,No traffic dataset
T0-12,conversion_intent,phone_click_submit_intent,Analytics intent events,https://dentix.ua/,DENTIX; Ukraine/Dnipro; page language uk; device UNKNOWN unless stated,2026-09-08,2026-09-08,UTC,UNKNOWN,status (no quantitative dataset),UNKNOWN,unavailable,UNKNOWN,tel links exist but no click count; not a connected call or delivery
T0-13,delivered_conversion,delivered_form,Server delivery receipts,https://dentix.ua/,DENTIX; Ukraine/Dnipro; page language uk; device UNKNOWN unless stated,2026-09-08,2026-09-08,UTC,UNKNOWN,status (no quantitative dataset),UNKNOWN,unavailable,UNKNOWN,Public intake status: lead/timed UNAVAILABLE; no submission or delivery tested
T0-14,connected_interaction,connected_call,Call tracking / confirmed business interaction,https://dentix.ua/,DENTIX; Ukraine/Dnipro; page language uk; device UNKNOWN unless stated,2026-09-08,2026-09-08,UTC,UNKNOWN,status (no quantitative dataset),UNKNOWN,unavailable,UNKNOWN,No call connection evidence; phone remains an available intended channel
T0-15,qualified_lead,qualified_lead,Business-confirmed aggregate CRM,https://dentix.ua/,DENTIX; Ukraine/Dnipro; page language uk; device UNKNOWN unless stated,2026-09-08,2026-09-08,UTC,UNKNOWN,status (no quantitative dataset),UNKNOWN,unavailable,UNKNOWN,No qualification dataset or approved operational rule; synthetic evidence prohibited
T0-16,appointment,confirmed_booking,Business-confirmed aggregate CRM,https://dentix.ua/,DENTIX; Ukraine/Dnipro; page language uk; device UNKNOWN unless stated,2026-09-08,2026-09-08,UTC,UNKNOWN,status (no quantitative dataset),UNKNOWN,unavailable,UNKNOWN,Preferred-time request is not a confirmed appointment
T0-17,completed_visit_revenue,completed_visit_revenue,Business-confirmed aggregate outcome,https://dentix.ua/,DENTIX; Ukraine/Dnipro; page language uk; device UNKNOWN unless stated,2026-09-08,2026-09-08,UTC,UNKNOWN,status (no quantitative dataset),UNKNOWN,unavailable,UNKNOWN,No patient/customer records accessed; no revenue dataset
