id,area,issue,evidence,recommendation,impact,confidence,effort,risk,dependency,owner,acceptance_test,kpi,status
PR-00,controls,No canonical baseline existed,PR #1 merged; main and successful preview deployment 7208e7cadda04273c27282a68171ea3853664510,Initialize .seo and preserve T0 evidence,high,high for observed gaps; outcome impact UNKNOWN,S,P1,none,DENTIX owner / future assigned implementer; named owner TBD,Controls-only merge reconciled; no production/outcome claim,Control/evidence completeness,MERGED_CONTROLS_ONLY
PR-01,technical,Preview-only SEO foundation,Merged PR #2; main + successful preview ff675a1e4363d1c5e8d936b5273710bf5db89211,Production/preview profiles; initial HTML; metadata; canonical; robots; sitemap; approved Schema; real 404; admin isolation; anchors,high,high for observed gaps; outcome impact UNKNOWN,TBD after bounded scope,P0,PR-00 merged; exact bounded PR01 authorization recorded,DENTIX owner / future assigned implementer; named owner TBD,Preview noindex; production initial HTML/metadata/canonical/robots/sitemap/WebSite-WebPage; no admin; 404; links; five widths; independent local review accepted,"Technical readiness, not rankings",MERGED_PREVIEW_VERIFIED; PRODUCTION_NOT_LAUNCHED
PR-02,migration,Migration and demand planning baseline,PR #3 merged 160804ce2fd0cd759788f2ec2961b1638f7dcda8; successful preview run 34695414098,Preserve 64 migration rows and 49 HOLD cutover boundary,high,high for observed gaps; outcome impact UNKNOWN,TBD after bounded scope,P0,PR01 merged; PR02 session grant,DENTIX owner / future assigned implementer; named owner TBD,64 inventory rows with dispositions; 20 Google queries; 13 local observations; 3 full AI samples; 12-page plan; validators; claims=[],Migration URL availability,MERGED_PREVIEW_VERIFIED; PRODUCTION_NOT_LAUNCHED
PR-03,entity/local,Build approved entity/local surfaces; omitted unknown legal/credential/medical-review evidence remains outside scope,PR #4 merged 51e1da2343923d5e997d8bb6d7abe6734b9bc24c; successful noindex preview run 34719593977,Four local routes and safe schema; no production/profile change,high,high for observed gaps; outcome impact UNKNOWN,TBD after bounded scope,P1,DENTIX_ENTITY_FACT_LOCK_V1 approved; bounded PR03 authority,DENTIX owner / future assigned implementer; named owner TBD,Independent remote/code/evidence review PASS; 139/139 checksums; fresh final-head full suite required; exact approved facts; no POST; preview noindex; normal merge and one automatic preview deployment only,Verified entity consistency,MERGED_PREVIEW_VERIFIED; PRODUCTION_NOT_LAUNCHED
PR-04A,therapy,Therapy/caries/microscope cluster merged to noindex preview,PR #5 be42e9d3547a9388e2e0a0ffa4d7258a55616579; workflow 34752031347; deployment 6420548670; seven live noindex routes,"Therapy hub, caries page and rebuild existing microscope URL as consolidated canals/endodontic destination",high,high for observed gaps; outcome impact UNKNOWN,TBD after bounded scope,P1,Current sources and PR04A grant verified; production cutover and any required clinical review remain blocked,DENTIX owner / future assigned implementer; named owner TBD,Seven routes both bases; shared prices/doctors; Service parity; no clinical invention; browser/mobile/founder regressions; one Draft PR,Therapy qualified demand (T0 UNKNOWN),MERGED_PREVIEW_VERIFIED; PRODUCTION_NOT_LAUNCHED
PR-04B,surgery,Priority 2 surgery cluster implemented locally with no-surgeon fallback,PR #6 merged ae1a929bd339b7a9172760320e9917325243004e; preview workflow 34755054592/deployment 6421117100 success; 10 live noindex routes on 2026-09-13,"Surgery hub, general extraction with complexity section and distinct wisdom page",high,high for observed gaps; outcome impact UNKNOWN,TBD after bounded scope,P1,PR04A merged preview; PR04B grant verified. No named surgeon/reviewer; production blocked.,DENTIX owner / future assigned implementer; named owner TBD,Ten routes both profiles; exact managed prices; no initial surgeon/Person; exact future surgeon role parity; no clinical invention; five widths; zero POST; one Draft PR,Surgery qualified demand (T0 UNKNOWN),MERGED_PREVIEW_VERIFIED_PRODUCTION_NOT_LAUNCHED
PR-04C,implantation,Priority 3 implantation plus legacy prosthetics preservation implemented locally,PR #7 head 6da5ae7dffb7345de50aad6cdcd6b1782194a149; remote and independent review PASS; original evidence 200/200; 2026-09-13T13:07:45.718094+00:00,Preserve /implantatsiya/ and /protezirovanie/ with separate exact current prices; no turnkey definition or clinician inference,high,high for observed gaps; outcome impact UNKNOWN,TBD after bounded scope,P1,PR04B merged preview only; PR04C chat grant; production medical/clinician gates unresolved,DENTIX owner / future assigned implementer; named owner TBD,Fresh exact-final-head suite; 12 routes; one managed price source; exact roles with no fallback clinician; separate implant/prosthetics prices; no package invention; one normal merge and one automatic noindex preview deployment; no POST or production launch,Implantation qualified demand (T0 UNKNOWN),MERGED_PREVIEW_VERIFIED; PRODUCTION_NOT_LAUNCHED
PR-05,measurement/conversion,No delivery or quantitative outcome baseline,PR02 access-matrix.csv; utm-taxonomy.csv; event-dictionary.yml; measurement-plan.yml; T0 NOT_READY,Obtain approved read-only baseline exports; implement and validate separately authorized instrumentation using PR02 taxonomy and event definitions,high,high for observed gaps; outcome impact UNKNOWN,TBD after bounded scope,P1,PR-03 + separately authorized integration/account scope,DENTIX owner / future assigned implementer; named owner TBD,No personal/medical analytics data; synthetic QA separate; real outcomes require aggregate business confirmation,Delivered/connected/qualified/appointment stages separately,VALIDATED_DRAFT_CREATION_AUTHORIZED; production blockers retained
PR-06,performance/accessibility,No field or full visual/accessibility baseline,DENTIX PR00 baseline.md and risk-register.yml @ f8431478b995031131fcdf4c12d89afdb6743067,"Image/OG optimization, splitting, CWV field/lab distinction, keyboard/focus/mobile and budgets",high,high for observed gaps; outcome impact UNKNOWN,TBD after bounded scope,P1,PR-01 + explicit scope and baseline,DENTIX owner / future assigned implementer; named owner TBD,Five viewport QA; meaningful field/lab budgets; no regression,Performance/accessibility measures,PLANNED_NOT_AUTHORIZED
EXTERNAL-01,external,External operations not authorized,DENTIX PR00 baseline.md and risk-register.yml @ f8431478b995031131fcdf4c12d89afdb6743067,Domain/DNS/deploy/GSC/GBP/Bing/GA4/indexing/outreach only as separately authorized concrete actions,high,high for observed gaps; outcome impact UNKNOWN,TBD after bounded scope,P0,Relevant PR acceptance + exact separate external authorization,DENTIX owner / future assigned implementer; named owner TBD,Per-action authorization and before/after evidence; no production/account/submission actions in PR02,Publication/data availability; no automatic SEO success,PLANNED_NOT_AUTHORIZED
