url,page_type,market,language,primary_intent,owner,last_substantive_review,fact_status,claim_status,medical_review_required,action,notes,query_cluster,old_url_relationship,migration_dependency,facts_required,doctor_reviewer_required,price_evidence_required,case_asset_evidence_required,internal_links_in,internal_links_out,schema_candidate,primary_conversion,publication_dependency,success_metric,data_source,pr_assignment,evidence_date,status,primary_query,topic_cluster,offer,conversion,priority,migration_action
https://dentix.ua/,home,Ukraine / Dnipro,uk,brand/local,DENTIX owner; named clinician/editor pending,2026-09-12T14:39:20.364016+00:00,DENTIX_ENTITY_FACT_LOCK_V1 APPROVED,Existing visible source statements approved; no new clinical guidance,False,update,"Verified clinic entity, founder facts and service navigation",brand/local,same old production URL,No cutover until this page and map HTTP behavior accepted,Current pinned sources; omit unknown facts,Directory/contact facts approved; no new clinical advice; named medical reviewer still unknown,Approved current src/data/prices.ts; managed source preserved,Existing same-site reuse approved; no new provenance claim,/ | /likari/ | /kontakty/ | /price.html,/ | /likari/ | /kontakty/ | /price.html | existing home sections | PR04A therapy cluster via home/price/contextual doctor links | PR04C /implantatsiya/ | /protezirovanie/ (local candidate),"Dentist + WebSite/WebPage, approved NAP only",phone_click (intent); later confirmed connected_call/qualified_lead,PR03 merged/deployed to noindex preview; PR04A contextual linking local. Production cutover remains separately gated.,"Page/query clicks and impressions; qualified inquiries attributable to landing page, baseline and confounders required",GSC + GA4 + approved call/CRM aggregate; currently ACCESS_BLOCKED/UNKNOWN,PR-03,2026-09-12T14:39:20.364016+00:00,IMPLEMENTED_LOCALLY_VALIDATED_NOT_PUBLISHED,DENTIX Дніпро,brand/local,brand/local,phone_click (intent); later confirmed connected_call/qualified_lead,P0,REBUILD_SAME_URL
https://dentix.ua/likari/,doctor directory,Ukraine / Dnipro,uk,doctor selection,DENTIX owner; named clinician/editor pending,2026-09-12T14:39:20.364016+00:00,DENTIX_ENTITY_FACT_LOCK_V1 APPROVED,Existing visible source statements approved; no new clinical guidance,False,create,Accountable clinician evidence; create individual bios only when first-party facts justify them,doctor selection,new distinct intent; no old standalone URL discovered,No cutover until this page and map HTTP behavior accepted,Current pinned sources; omit unknown facts,Directory/contact facts approved; no new clinical advice; named medical reviewer still unknown,Approved current src/data/prices.ts; managed source preserved,Existing same-site reuse approved; no new provenance claim,/ | /likari/ | /kontakty/ | /price.html,/ | /likari/ | /kontakty/ | /price.html | existing home sections | PR04A therapy cluster via home/price/contextual doctor links,CollectionPage + visible Person records,phone_click (intent); later confirmed connected_call/qualified_lead,PR03 merged/deployed to noindex preview; PR04A contextual linking local. Production cutover remains separately gated.,"Page/query clicks and impressions; qualified inquiries attributable to landing page, baseline and confounders required",GSC + GA4 + approved call/CRM aggregate; currently ACCESS_BLOCKED/UNKNOWN,PR-03,2026-09-12T14:39:20.364016+00:00,IMPLEMENTED_LOCALLY_VALIDATED_NOT_PUBLISHED,,doctor selection,doctor selection,phone_click (intent); later confirmed connected_call/qualified_lead,P0,CREATE
https://dentix.ua/kontakty/,location/contact,Ukraine / Dnipro,uk,visit real clinic,DENTIX owner; named clinician/editor pending,2026-09-12T14:39:20.364016+00:00,DENTIX_ENTITY_FACT_LOCK_V1 APPROVED,Existing visible source statements approved; no new clinical guidance,False,create,One real clinic; no neighbourhood doorway pages,visit real clinic,new distinct intent; no old standalone URL discovered,No cutover until this page and map HTTP behavior accepted,Current pinned sources; omit unknown facts,Directory/contact facts approved; no new clinical advice; named medical reviewer still unknown,Approved current src/data/prices.ts; managed source preserved,Existing same-site reuse approved; no new provenance claim,/ | /likari/ | /kontakty/ | /price.html,/ | /likari/ | /kontakty/ | /price.html | existing home sections | PR04A therapy cluster via home/price/contextual doctor links,WebPage + BreadcrumbList; Service only if visible and factual; no automatic FAQ/review markup,phone_click (intent); later confirmed connected_call/qualified_lead,PR03 merged/deployed to noindex preview; PR04A contextual linking local. Production cutover remains separately gated.,"Page/query clicks and impressions; qualified inquiries attributable to landing page, baseline and confounders required",GSC + GA4 + approved call/CRM aggregate; currently ACCESS_BLOCKED/UNKNOWN,PR-03,2026-09-12T14:39:20.364016+00:00,IMPLEMENTED_LOCALLY_VALIDATED_NOT_PUBLISHED,,visit real clinic,visit real clinic,phone_click (intent); later confirmed connected_call/qualified_lead,P0,CREATE
https://dentix.ua/price.html,price page,Ukraine / Dnipro,uk,compare current prices,DENTIX owner; named clinician/editor pending,2026-09-12T14:39:20.364016+00:00,DENTIX_ENTITY_FACT_LOCK_V1 APPROVED,Existing visible source statements approved; no new clinical guidance,False,keep,Single price source shared with procedure pages; no implantation-price duplicate,compare current prices,existing new-site /price.html route,No cutover until this page and map HTTP behavior accepted,Current pinned sources; omit unknown facts,Directory/contact facts approved; no new clinical advice; named medical reviewer still unknown,Approved current src/data/prices.ts; managed source preserved,Existing same-site reuse approved; no new provenance claim,/ | /likari/ | /kontakty/ | /price.html,/ | /likari/ | /kontakty/ | /price.html | existing home sections | PR04A therapy cluster via home/price/contextual doctor links | PR04C /implantatsiya/ | /protezirovanie/ (local candidate),WebPage + BreadcrumbList; Service only if visible and factual; no automatic FAQ/review markup,phone_click (intent); later confirmed connected_call/qualified_lead,PR03 merged/deployed to noindex preview; PR04A contextual linking local. Production cutover remains separately gated.,"Page/query clicks and impressions; qualified inquiries attributable to landing page, baseline and confounders required",GSC + GA4 + approved call/CRM aggregate; currently ACCESS_BLOCKED/UNKNOWN,PR-03,2026-09-12T14:39:20.364016+00:00,IMPLEMENTED_LOCALLY_VALIDATED_NOT_PUBLISHED,,compare current prices,compare current prices,phone_click (intent); later confirmed connected_call/qualified_lead,P0,KEEP_NEW_SITE_ROUTE
https://dentix.ua/terapevtychna-stomatolohiia/,service hub,Ukraine / Dnipro,uk,therapy,DENTIX owner; named clinician/editor pending,2026-09-13T09:02:48.284444+00:00,APPROVED_CURRENT_FACT: PR04A content boundary and pinned current sources,NEW_BOUNDED_OPERATIONAL_COPY; no new medical advice or outcome claims,True,create,Guide clinician/service selection and link to caries and endodontics,therapy,new distinct intent; no old standalone URL discovered,No cutover until this page and map HTTP behavior accepted,Current service labels; exact managed doctor roles and price rows; operational plan/cost statements only,UNKNOWN; professional review not completed. PROFESSIONAL_REVIEW_REQUIRED_BEFORE_PRODUCTION for any new clinical explanation; none added in PR04A,Shared useManagedContent priceBlocks primary; src/data/prices.ts unchanged fallback; selected exact row names; no duplicate price values,No clinical cases used; existing clinic/doctor media reuse only,/ | /price.html | /likari/ | related therapy pages,/ | /likari/ | /kontakty/ | /price.html | /terapevtychna-stomatolohiia/ | /likuvannia-kariiesu/ | /lechenie-pod-mikroskopom/,WebSite + WebPage + Dentist + Service + visible Person + BreadcrumbList; supporting PostalAddress/OpeningHoursSpecification/ListItem,phone_click (intent); later confirmed connected_call/qualified_lead,PR #5 merged be42e9d3547a9388e2e0a0ffa4d7258a55616579; preview workflow 34752031347 / deployment 6420548670 verified; production cutover and qualified review unresolved,"Page/query clicks and impressions; qualified inquiries attributable to landing page, baseline and confounders required",GSC + GA4 + approved call/CRM aggregate; currently ACCESS_BLOCKED/UNKNOWN,PR-04A,2026-09-13T09:02:48.284444+00:00,MERGED_PREVIEW_VERIFIED_PRODUCTION_NOT_LAUNCHED,стоматолог терапевт Дніпро,therapy,therapy,phone_click (intent); later confirmed connected_call/qualified_lead,P1,CREATE
https://dentix.ua/likuvannia-kariiesu/,procedure page,Ukraine / Dnipro,uk,caries,DENTIX owner; named clinician/editor pending,2026-09-13T09:02:48.284444+00:00,APPROVED_CURRENT_FACT: PR04A content boundary and pinned current sources,NEW_BOUNDED_OPERATIONAL_COPY; no new medical advice or outcome claims,True,create,Distinct filling/restoration decision; not a canal page,caries,new distinct intent; no old standalone URL discovered,No cutover until this page and map HTTP behavior accepted,Current service labels; exact managed doctor roles and price rows; operational plan/cost statements only,UNKNOWN; professional review not completed. PROFESSIONAL_REVIEW_REQUIRED_BEFORE_PRODUCTION for any new clinical explanation; none added in PR04A,Shared useManagedContent priceBlocks primary; src/data/prices.ts unchanged fallback; selected exact row names; no duplicate price values,No clinical cases used; existing clinic/doctor media reuse only,/ | /price.html | /likari/ | related therapy pages,/ | /likari/ | /kontakty/ | /price.html | /terapevtychna-stomatolohiia/ | /likuvannia-kariiesu/ | /lechenie-pod-mikroskopom/,WebSite + WebPage + Dentist + Service + visible Person + BreadcrumbList; supporting PostalAddress/OpeningHoursSpecification/ListItem,phone_click (intent); later confirmed connected_call/qualified_lead,PR #5 merged be42e9d3547a9388e2e0a0ffa4d7258a55616579; preview workflow 34752031347 / deployment 6420548670 verified; production cutover and qualified review unresolved,"Page/query clicks and impressions; qualified inquiries attributable to landing page, baseline and confounders required",GSC + GA4 + approved call/CRM aggregate; currently ACCESS_BLOCKED/UNKNOWN,PR-04A,2026-09-13T09:02:48.284444+00:00,MERGED_PREVIEW_VERIFIED_PRODUCTION_NOT_LAUNCHED,лікування карієсу Дніпро,caries,caries,phone_click (intent); later confirmed connected_call/qualified_lead,P1,CREATE
https://dentix.ua/lechenie-pod-mikroskopom/,procedure page,Ukraine / Dnipro,uk,canals/microscope/endodontist,DENTIX owner; named clinician/editor pending,2026-09-13T09:02:48.284444+00:00,APPROVED_CURRENT_FACT: PR04A content boundary and pinned current sources,NEW_BOUNDED_OPERATIONAL_COPY; no new medical advice or outcome claims,True,update,One consolidated endodontic/microscope destination preserves existing URL; no separate canals page yet,canals/microscope/endodontist,same old production URL,No cutover until this page and map HTTP behavior accepted,Current service labels; exact managed doctor roles and price rows; operational plan/cost statements only,UNKNOWN; professional review not completed. PROFESSIONAL_REVIEW_REQUIRED_BEFORE_PRODUCTION for any new clinical explanation; none added in PR04A,Shared useManagedContent priceBlocks primary; src/data/prices.ts unchanged fallback; selected exact row names; no duplicate price values,No clinical cases used; existing clinic/doctor media reuse only,/ | /price.html | /likari/ | related therapy pages,/ | /likari/ | /kontakty/ | /price.html | /terapevtychna-stomatolohiia/ | /likuvannia-kariiesu/ | /lechenie-pod-mikroskopom/,WebSite + WebPage + Dentist + Service + visible Person + BreadcrumbList; supporting PostalAddress/OpeningHoursSpecification/ListItem,phone_click (intent); later confirmed connected_call/qualified_lead,PR #5 merged be42e9d3547a9388e2e0a0ffa4d7258a55616579; preview workflow 34752031347 / deployment 6420548670 verified; production cutover and qualified review unresolved,"Page/query clicks and impressions; qualified inquiries attributable to landing page, baseline and confounders required",GSC + GA4 + approved call/CRM aggregate; currently ACCESS_BLOCKED/UNKNOWN,PR-04A,2026-09-13T09:02:48.284444+00:00,MERGED_PREVIEW_VERIFIED_PRODUCTION_NOT_LAUNCHED,лікування каналів Дніпро,canals/microscope/endodontist,canals/microscope/endodontist,phone_click (intent); later confirmed connected_call/qualified_lead,P1,REBUILD_SAME_URL
https://dentix.ua/khirurhichna-stomatolohiia/,service hub,Ukraine / Dnipro,uk,surgery,DENTIX owner; named clinician/editor pending,2026-09-13T10:57:39.826480+00:00,APPROVED_CURRENT_FACT: seven source pins and PR04B grant,NEW_BOUNDED_OPERATIONAL_COPY; no clinical advice or inferred surgeon,True,create,Clinical-scope hub distinct from extraction booking,surgery,new distinct intent; no old standalone URL discovered,No cutover until this page and map HTTP behavior accepted,Exact approved surgery scope labels; current entity facts; consultation/examination/diagnostics/individual plan and clinic-confirmed scope/final cost,NO_APPROVED_SURGEON_IN_CURRENT_FALLBACK_SOURCE; exact visible хірург role only; UNKNOWN / NOT_COMPLETED; PROFESSIONAL_REVIEW_REQUIRED_BEFORE_PRODUCTION,One useManagedContent().priceBlocks source; five approved row names only; no implantation; no copied costs or per-row fallback,No cases; existing clinic image only; managed portrait only for exact surgeon role,/ | /price.html | related surgery routes,/ | /likari/ | /kontakty/ | /price.html | /khirurhichna-stomatolohiia/ | /vydalennia-zuba/ | /vydalennia-zuba-mudrosti/,WebSite + WebPage + Dentist + Service + BreadcrumbList; Person only with visible managed exact surgeon role; initial Person count zero,phone_click (intent); later confirmed connected_call/qualified_lead,PR #6 merged to noindex preview only; WordPress production remains. Clinical review and separately authorized production cutover required.,"Page/query clicks and impressions; qualified inquiries attributable to landing page, baseline and confounders required",GSC + GA4 + approved call/CRM aggregate; currently ACCESS_BLOCKED/UNKNOWN,PR-04B,2026-09-13T10:57:39.826480+00:00,MERGED_PREVIEW_VERIFIED_PRODUCTION_NOT_LAUNCHED,стоматолог хірург Дніпро,surgery,surgery,phone_click (intent); later confirmed connected_call/qualified_lead,P2,CREATE
https://dentix.ua/vydalennia-zuba/,procedure page,Ukraine / Dnipro,uk,simple/complex extraction,DENTIX owner; named clinician/editor pending,2026-09-13T10:57:39.826480+00:00,APPROVED_CURRENT_FACT: seven source pins and PR04B grant,NEW_BOUNDED_OPERATIONAL_COPY; no clinical advice or inferred surgeon,True,create,Complex extraction initially section on extraction page; review GSC/intent before splitting,simple/complex extraction,new distinct intent; no old standalone URL discovered,No cutover until this page and map HTTP behavior accepted,Exact approved surgery scope labels; current entity facts; consultation/examination/diagnostics/individual plan and clinic-confirmed scope/final cost,NO_APPROVED_SURGEON_IN_CURRENT_FALLBACK_SOURCE; exact visible хірург role only; UNKNOWN / NOT_COMPLETED; PROFESSIONAL_REVIEW_REQUIRED_BEFORE_PRODUCTION,One useManagedContent().priceBlocks source; five approved row names only; no implantation; no copied costs or per-row fallback,No cases; existing clinic image only; managed portrait only for exact surgeon role,/ | /price.html | related surgery routes,/ | /likari/ | /kontakty/ | /price.html | /khirurhichna-stomatolohiia/ | /vydalennia-zuba/ | /vydalennia-zuba-mudrosti/,WebSite + WebPage + Dentist + Service + BreadcrumbList; Person only with visible managed exact surgeon role; initial Person count zero,phone_click (intent); later confirmed connected_call/qualified_lead,PR #6 merged to noindex preview only; WordPress production remains. Clinical review and separately authorized production cutover required.,"Page/query clicks and impressions; qualified inquiries attributable to landing page, baseline and confounders required",GSC + GA4 + approved call/CRM aggregate; currently ACCESS_BLOCKED/UNKNOWN,PR-04B,2026-09-13T10:57:39.826480+00:00,MERGED_PREVIEW_VERIFIED_PRODUCTION_NOT_LAUNCHED,видалення зуба Дніпро,simple/complex extraction,simple/complex extraction,phone_click (intent); later confirmed connected_call/qualified_lead,P2,CREATE
https://dentix.ua/vydalennia-zuba-mudrosti/,procedure page,Ukraine / Dnipro,uk,wisdom extraction,DENTIX owner; named clinician/editor pending,2026-09-13T10:57:39.826480+00:00,APPROVED_CURRENT_FACT: seven source pins and PR04B grant,NEW_BOUNDED_OPERATIONAL_COPY; no clinical advice or inferred surgeon,True,create,Distinct wisdom-tooth evaluation supported by recurring dedicated competitor pages,wisdom extraction,new distinct intent; no old standalone URL discovered,No cutover until this page and map HTTP behavior accepted,Exact approved surgery scope labels; current entity facts; consultation/examination/diagnostics/individual plan and clinic-confirmed scope/final cost,NO_APPROVED_SURGEON_IN_CURRENT_FALLBACK_SOURCE; exact visible хірург role only; UNKNOWN / NOT_COMPLETED; PROFESSIONAL_REVIEW_REQUIRED_BEFORE_PRODUCTION,One useManagedContent().priceBlocks source; five approved row names only; no implantation; no copied costs or per-row fallback,No cases; existing clinic image only; managed portrait only for exact surgeon role,/ | /price.html | related surgery routes,/ | /likari/ | /kontakty/ | /price.html | /khirurhichna-stomatolohiia/ | /vydalennia-zuba/ | /vydalennia-zuba-mudrosti/,WebSite + WebPage + Dentist + Service + BreadcrumbList; Person only with visible managed exact surgeon role; initial Person count zero,phone_click (intent); later confirmed connected_call/qualified_lead,PR #6 merged to noindex preview only; WordPress production remains. Clinical review and separately authorized production cutover required.,"Page/query clicks and impressions; qualified inquiries attributable to landing page, baseline and confounders required",GSC + GA4 + approved call/CRM aggregate; currently ACCESS_BLOCKED/UNKNOWN,PR-04B,2026-09-13T10:57:39.826480+00:00,MERGED_PREVIEW_VERIFIED_PRODUCTION_NOT_LAUNCHED,видалення зуба мудрості Дніпро,wisdom extraction,wisdom extraction,phone_click (intent); later confirmed connected_call/qualified_lead,P2,CREATE
