url,primary_question,direct_answer_present,entity_clear,expert_evidence,claim_sources,updated_at,structured_data_parity,crawlable_html,limitations,status
https://optidigitalagent.github.io/dentix-booking-demo/,Clinic/service evaluation,Rendered content present; initial critical HTML absent,Brand/location source observed; external parity pending,UNKNOWN: full team/credentials/reviewer incomplete,Pending; see facts/claims registers,UNKNOWN: no editorial date verified,No JSON-LD present,Initial HTML empty root; JS rendering required,No citation or eligibility result; not an AI ranking sample,RESEARCH_REQUIRED
https://optidigitalagent.github.io/dentix-booking-demo/price.html,Clinic/service evaluation,Rendered content present; initial critical HTML absent,Brand/location source observed; external parity pending,UNKNOWN: full team/credentials/reviewer incomplete,Pending; see facts/claims registers,UNKNOWN: no editorial date verified,No JSON-LD present,Initial HTML empty root; JS rendering required,No citation or eligibility result; not an AI ranking sample,RESEARCH_REQUIRED
https://optidigitalagent.github.io/dentix-booking-demo/,Clinic services/contact,Local initial and rendered HTML; source parity PASS,DENTIX / Dnipro / uk; local candidate,Pending facts/claims; no new proof,Current visible source preserved; public approval pending,2026-09-08T19:44:33.788945+00:00,Preview schema intentionally absent,LOCAL_ARTIFACT initial HTML PASS,"NOT_PUBLISHED; no AI citation, ranking or visibility evidence",IMPLEMENTED_LOCALLY; OUTCOME_UNKNOWN
https://optidigitalagent.github.io/dentix-booking-demo/price.html,Service price categories/contact,Local initial and rendered HTML; source parity PASS,DENTIX / Dnipro / uk; local candidate,Pending facts/claims; no new proof,Current visible source preserved; public approval pending,2026-09-08T19:44:33.788945+00:00,Preview schema intentionally absent,LOCAL_ARTIFACT initial HTML PASS,"NOT_PUBLISHED; no AI citation, ranking or visibility evidence",IMPLEMENTED_LOCALLY; OUTCOME_UNKNOWN
https://dentix.ua/,Clinic services/contact,Local initial and rendered HTML; source parity PASS,DENTIX / Dnipro / uk; local candidate,Pending facts/claims; no new proof,Current visible source preserved; public approval pending,2026-09-08T19:44:33.788945+00:00,WebSite/WebPage only,LOCAL_ARTIFACT initial HTML PASS,"NOT_PUBLISHED; no AI citation, ranking or visibility evidence",IMPLEMENTED_LOCALLY; OUTCOME_UNKNOWN
https://dentix.ua/price.html,Service price categories/contact,Local initial and rendered HTML; source parity PASS,DENTIX / Dnipro / uk; local candidate,Pending facts/claims; no new proof,Current visible source preserved; public approval pending,2026-09-08T19:44:33.788945+00:00,WebSite/WebPage only,LOCAL_ARTIFACT initial HTML PASS,"NOT_PUBLISHED; no AI citation, ranking or visibility evidence",IMPLEMENTED_LOCALLY; OUTCOME_UNKNOWN
https://optidigitalagent.github.io/dentix-booking-demo/,Clinic/team/contact/price navigation,Initial and hydrated Ukrainian HTML,DENTIX / Dnipro / approved current source,Exact four names/roles where visible; no inferred credentials,DENTIX_ENTITY_FACT_LOCK_V1; facts-register.csv,2026-09-12T14:48:37.389890+00:00,Source-derived graph in production artifact; absent preview,Local artifact verified,Local technical implementation only; no citation/visibility/result claim; no launch,IMPLEMENTED_LOCALLY_NOT_PUBLISHED
https://optidigitalagent.github.io/dentix-booking-demo/likari/,Clinic/team/contact/price navigation,Initial and hydrated Ukrainian HTML,DENTIX / Dnipro / approved current source,Exact four names/roles where visible; no inferred credentials,DENTIX_ENTITY_FACT_LOCK_V1; facts-register.csv,2026-09-12T14:48:37.389890+00:00,Source-derived graph in production artifact; absent preview,Local artifact verified,Local technical implementation only; no citation/visibility/result claim; no launch,IMPLEMENTED_LOCALLY_NOT_PUBLISHED
https://optidigitalagent.github.io/dentix-booking-demo/kontakty/,Clinic/team/contact/price navigation,Initial and hydrated Ukrainian HTML,DENTIX / Dnipro / approved current source,Exact four names/roles where visible; no inferred credentials,DENTIX_ENTITY_FACT_LOCK_V1; facts-register.csv,2026-09-12T14:48:37.389890+00:00,Source-derived graph in production artifact; absent preview,Local artifact verified,Local technical implementation only; no citation/visibility/result claim; no launch,IMPLEMENTED_LOCALLY_NOT_PUBLISHED
https://optidigitalagent.github.io/dentix-booking-demo/price.html,Clinic/team/contact/price navigation,Initial and hydrated Ukrainian HTML,DENTIX / Dnipro / approved current source,Exact four names/roles where visible; no inferred credentials,DENTIX_ENTITY_FACT_LOCK_V1; facts-register.csv,2026-09-12T14:48:37.389890+00:00,Source-derived graph in production artifact; absent preview,Local artifact verified,Local technical implementation only; no citation/visibility/result claim; no launch,IMPLEMENTED_LOCALLY_NOT_PUBLISHED
